timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 06:20:07.215, 19 %, 56 MiB
2026/09/25 06:20:08.215, 42 %, 56 MiB
2026/09/25 06:20:09.216, 42 %, 56 MiB
2026/09/25 06:20:10.216, 19 %, 56 MiB
2026/09/25 06:20:11.216, 43 %, 56 MiB
2026/09/25 06:20:12.216, 42 %, 56 MiB
2026/09/25 06:20:13.217, 19 %, 56 MiB
2026/09/25 06:20:14.217, 19 %, 56 MiB
2026/09/25 06:20:15.217, 42 %, 56 MiB
2026/09/25 06:20:16.217, 42 %, 56 MiB
2026/09/25 06:20:17.217, 19 %, 56 MiB
2026/09/25 06:20:18.218, 42 %, 56 MiB
2026/09/25 06:20:19.218, 42 %, 56 MiB
2026/09/25 06:20:20.218, 19 %, 56 MiB
2026/09/25 06:20:21.218, 19 %, 56 MiB
2026/09/25 06:20:22.218, 42 %, 56 MiB
2026/09/25 06:20:23.219, 19 %, 56 MiB
2026/09/25 06:20:24.219, 19 %, 56 MiB
2026/09/25 06:20:25.219, 42 %, 56 MiB
2026/09/25 06:20:26.219, 42 %, 56 MiB
2026/09/25 06:20:27.219, 19 %, 56 MiB
2026/09/25 06:20:28.220, 19 %, 56 MiB
2026/09/25 06:20:29.220, 42 %, 56 MiB
2026/09/25 06:20:30.220, 42 %, 56 MiB
2026/09/25 06:20:31.221, 19 %, 56 MiB
2026/09/25 06:20:32.221, 19 %, 56 MiB
2026/09/25 06:20:33.221, 42 %, 56 MiB
2026/09/25 06:20:34.221, 19 %, 56 MiB
2026/09/25 06:20:35.223, 19 %, 56 MiB
2026/09/25 06:20:36.223, 42 %, 56 MiB
2026/09/25 06:20:37.223, 43 %, 56 MiB
2026/09/25 06:20:38.224, 19 %, 56 MiB
2026/09/25 06:20:39.224, 19 %, 56 MiB
2026/09/25 06:20:40.230, 42 %, 56 MiB
2026/09/25 06:20:41.230, 42 %, 56 MiB
2026/09/25 06:20:42.230, 19 %, 56 MiB
2026/09/25 06:20:43.230, 19 %, 56 MiB
2026/09/25 06:20:44.231, 42 %, 56 MiB
2026/09/25 06:20:45.231, 42 %, 56 MiB
2026/09/25 06:20:46.231, 19 %, 56 MiB
2026/09/25 06:20:47.231, 19 %, 56 MiB
2026/09/25 06:20:48.231, 42 %, 56 MiB
2026/09/25 06:20:49.232, 19 %, 56 MiB
2026/09/25 06:20:50.232, 19 %, 56 MiB
2026/09/25 06:20:51.232, 42 %, 56 MiB
2026/09/25 06:20:52.232, 43 %, 56 MiB
2026/09/25 06:20:53.232, 19 %, 56 MiB
2026/09/25 06:20:54.232, 19 %, 56 MiB
2026/09/25 06:20:55.233, 42 %, 56 MiB
2026/09/25 06:20:56.233, 42 %, 56 MiB
2026/09/25 06:20:57.233, 19 %, 56 MiB
2026/09/25 06:20:58.233, 19 %, 56 MiB
2026/09/25 06:20:59.234, 42 %, 56 MiB
2026/09/25 06:21:00.234, 42 %, 56 MiB
2026/09/25 06:21:01.234, 19 %, 56 MiB
2026/09/25 06:21:02.234, 42 %, 56 MiB
2026/09/25 06:21:03.234, 43 %, 56 MiB
2026/09/25 06:21:04.235, 19 %, 56 MiB
2026/09/25 06:21:05.235, 19 %, 56 MiB
2026/09/25 06:21:06.235, 42 %, 56 MiB
2026/09/25 06:21:07.235, 43 %, 56 MiB
2026/09/25 06:21:08.235, 19 %, 56 MiB
2026/09/25 06:21:09.236, 19 %, 56 MiB
2026/09/25 06:21:10.236, 42 %, 56 MiB
2026/09/25 06:21:11.236, 42 %, 56 MiB
2026/09/25 06:21:12.236, 19 %, 56 MiB
2026/09/25 06:21:13.236, 42 %, 56 MiB
2026/09/25 06:21:14.237, 42 %, 56 MiB
2026/09/25 06:21:15.237, 19 %, 56 MiB
2026/09/25 06:21:16.237, 19 %, 56 MiB
2026/09/25 06:21:17.237, 42 %, 56 MiB
2026/09/25 06:21:18.237, 42 %, 56 MiB
2026/09/25 06:21:19.238, 19 %, 56 MiB
2026/09/25 06:21:20.238, 19 %, 56 MiB
2026/09/25 06:21:21.238, 42 %, 56 MiB
2026/09/25 06:21:22.238, 19 %, 56 MiB
2026/09/25 06:21:23.238, 19 %, 56 MiB
2026/09/25 06:21:24.238, 42 %, 56 MiB
2026/09/25 06:21:25.239, 42 %, 56 MiB
2026/09/25 06:21:26.239, 19 %, 56 MiB
2026/09/25 06:21:27.239, 19 %, 56 MiB
2026/09/25 06:21:28.239, 42 %, 56 MiB
2026/09/25 06:21:29.239, 19 %, 56 MiB
2026/09/25 06:21:30.240, 19 %, 56 MiB
2026/09/25 06:21:31.240, 42 %, 56 MiB
2026/09/25 06:21:32.240, 42 %, 56 MiB
2026/09/25 06:21:33.240, 19 %, 56 MiB
2026/09/25 06:21:34.241, 40 %, 56 MiB
2026/09/25 06:21:35.241, 42 %, 56 MiB
2026/09/25 06:21:36.241, 19 %, 56 MiB
